trade_id,symbol,entry_time,entry_price,stop_loss_price,exit_price,exit_time,pnl_amount,pnl_pct,quantity
123,BRKU,2025-05-05 11:30,29.2,29.0995,29.1249,2025-05-05 11:35,-460.17,-0.26%,5970
126,CRML,2025-05-05 11:33,1.935,1.8886,1.8896,2025-05-05 11:35,-1454.9,-2.45%,30711
117,BCRX,2025-05-05 11:14,10.1745,10.1053,10.265,2025-05-05 11:37,1246.88,0.87%,14089
127,NEOG,2025-05-05 11:34,5.675,5.6426,5.65,2025-05-05 11:38,-1187.49,-0.48%,43981
129,TPB,2025-05-05 11:35,64.785,64.4478,64.86,2025-05-05 11:40,64.9,0.11%,889
128,COKE,2025-05-05 11:35,1164.74,1163.3324,1164.41,2025-05-05 11:42,-35.19,-0.03%,106
125,PLRZ,2025-05-05 11:32,1.12,1.0702,1.0856,2025-05-05 11:42,-383.78,-3.25%,10542
131,RBRK,2025-05-05 11:40,75.32,75.0332,75.0565,2025-05-05 11:44,-1249.9,-0.35%,4707
133,ROOT,2025-05-05 11:43,143.73,143.3436,143.355,2025-05-05 11:49,-438.83,-0.26%,1164
135,KIDZ,2025-05-05 11:46,6.225,6.1887,6.21,2025-05-05 11:53,-140.49,-0.27%,8264
134,TSN,2025-05-05 11:45,56.17,55.8675,56.1658,2025-05-05 11:53,-24.66,-0.01%,3966
132,CEP,2025-05-05 11:42,35.33,34.4247,35.2158,2025-05-05 11:54,-28.81,-0.33%,248
136,SPHR,2025-05-05 11:53,27.88,27.6896,27.6987,2025-05-05 11:57,-1299.43,-0.66%,7090
137,ALKT,2025-05-05 11:57,27.76,27.6554,27.8,2025-05-05 12:01,463.18,0.14%,12189
130,KOLD,2025-05-05 11:37,21.64,21.5613,21.67,2025-05-05 12:01,426.92,0.13%,15247
138,SXTC,2025-05-06 04:13,2.1,1.9549,2.575,2025-05-06 04:20,733.15,22.52%,1550
139,WRD,2025-05-06 04:29,8.05,7.889,7.92,2025-05-06 04:37,-184.4,-1.64%,1397
141,UVIX,2025-05-06 05:27,43.47,43.4412,43.4412,2025-05-06 05:28,-481.25,-0.07%,15625
140,SXTC,2025-05-06 05:27,2.41,2.2831,2.3732,2025-05-06 05:38,-206.6,-1.61%,5319
142,FUTU,2025-05-06 06:35,101.99,101.6327,101.6327,2025-05-06 06:38,-150.55,-0.35%,419
143,PLTU,2025-05-06 06:47,46.09,46.0246,46.0246,2025-05-06 06:48,-772.88,-0.15%,11467
144,SXTC,2025-05-06 06:52,2.58,2.4299,2.4434,2025-05-06 06:56,-484.57,-5.37%,3497
146,PLTR,2025-05-06 07:11,114.57,114.318,115.1875,2025-05-06 07:24,3846.8,0.54%,6250
